authors	year	title	journal	publication_type	volume	issue	pages	doi	zenodoId	zenodoDoi	id	contentId	zenodoResponseCorpusId
Williams, C.E.	1989	Checklist of North American nut-infesting insects and host plants.	Journal of entomological Science	Journal article	24		550-562		10773171	https://doi.org/10.5281/zenodo.10773171	urn:lsid:taxodros.uzh.ch:id:williams%2C%201989	hash://md5/fb6508e68a476151fca1a1c18602e243	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wang, L. | Gao, J.-J. | Chen, H.-W.	2013	Ten new species of the subgenus Steganina (Diptera: Drosophilidae: Stegana) from southern China.	Journal of Natural History	Journal article	47		1993-2013	https://doi.org/10.1080/00222933.2012.763055	10778992		urn:lsid:taxodros.uzh.ch:id:wang%20et%20al.%2C%202013	hash://md5/94961483b3f0d1445902ad05de5fcda4	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Watabe, H.-a.	1985	A Preliminary Study of the Photoperiodic Response of Drosophila lutescens (Diptera: Drosophilidae).	Journal of Hokkaido University of Education [Hokkaido Kyoiku Daigaku Kiyo]	Journal article	36	Sect.2B	17-24		10772620	https://doi.org/10.5281/zenodo.10772620	urn:lsid:taxodros.uzh.ch:id:watabe%2C%201985b	hash://md5/1fba49ba733566391e7363a3b86e496f	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Ward, R.D.	1974	Alcohol Dehydrogenase in Drosophila melanogaster: Activity Variation in Natural Populations.	Biochemical Genetics	Journal article	12		449-458		10772450	https://doi.org/10.5281/zenodo.10772450	urn:lsid:taxodros.uzh.ch:id:ward%2C%201974	hash://md5/ded8811f883ae7face7fbfc42c1757b0	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wheeler, M.R.	1956	Zapriothrica, a new genus based upon Sigaloessa dispar Schiner, 1868 (Diptera, Drosophilidae).	Proceedings of the Entomological Society of Washington	Journal article	58		113-115		10772950	https://doi.org/10.5281/zenodo.10772950	urn:lsid:taxodros.uzh.ch:id:wheeler%2C%201956	hash://md5/1ea7eba65b449532da61936eb3318f60	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wiedemann, C.R.W.	1830	Aussereuropaische zweiflugelige Insekten. Zweiter Theil. 648 pp.		Book					10773067	https://doi.org/10.5281/zenodo.10773067	urn:lsid:taxodros.uzh.ch:id:wiedemann%2C%201830a	hash://md5/fa8cf4000b7711d1628a072876f4f041	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Whiteman, N.K. | Gloss, A.D. | Sackton, T.B. | Groen, S.C. | Humphrey, P.T. | Lapoint, R.T. | Sonderby, I.E. | Halkier, B.A. | Kocks, C. | Susubel, F.M. | Pierce, N.E.	2012	Genes Involved in the Evolution of Herbivory by a Leaf-Mining, Drosophilid fly.	Genom Biology and Evolution	Journal article	4		900-916	https://doi.org/10.1093/gbe/evs063	10773025		urn:lsid:taxodros.uzh.ch:id:whiteman%20et%20al.%2C%202012	hash://md5/d53468559ca074018991965ba92d5007	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wilson, A.C.C. | Sunnucks, P. | Barker, J.S.F.	2002	Isolation and characterization of 20 polymorphic microsatellite loci for Scaptodrosophila hibisci.	Molecular Ecology Notes	Journal article	2		242-244		10773221	https://doi.org/10.5281/zenodo.10773221	urn:lsid:taxodros.uzh.ch:id:wilson%20et%20al.%2C%202002	hash://md5/1486d1852714d16c719a385287f4a31a	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Walker, F.	1853	Insecta Saundersiana, or: Characters of undescribed insects in the collection of W. W. Saunders. Vol. I. Diptera, part 4, pp. 157-414.		Book chapter					10772256	https://doi.org/10.5281/zenodo.10772256	urn:lsid:taxodros.uzh.ch:id:walker%2C%201853a	hash://md5/c7eb247eb4c3232eaa05e17d76f16ec6	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wigan, L.G.	1949	The Distribution of Polygenic Activity on the X Chromosome of Drosophila melanogaster.	Heredity	Journal article	3		53-66		10773079	https://doi.org/10.5281/zenodo.10773079	urn:lsid:taxodros.uzh.ch:id:wigan%2C%201949	hash://md5/7c0427072bd2a436c87bcd5df7a2a38d	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wisco, J.J. | Matles, H. | Berrigan, D.	1997	Is the scaling of locomotor performance with body size constant?	Ecological Entomology	Journal article	22		483-486		10773293	https://doi.org/10.5281/zenodo.10773293	urn:lsid:taxodros.uzh.ch:id:wisco%20et%20al.%2C%201997	hash://md5/a68fc98929d05312c26d721a872ec5c6	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Walker, F.	1849	List of the specimens of dipterous insects of the collection of the British Museum. Part 4, pp. 689-1172.		Book chapter					10772254	https://doi.org/10.5281/zenodo.10772254	urn:lsid:taxodros.uzh.ch:id:walker%2C%201849	hash://md5/556e48d3ea8d3b40ac7342e5a5138416	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wakahama, K.-I. | Kitagawa, O.	1972	Evolutionary and genetical studies of the Drosophila nasuta subgroup. II. Karyotypes of Drosophila nasuta collected from the Seychelles Islands.	Japanese Journal of Genetics [Idengaku Zasshi]	Journal article	47		129-131		10772191	https://doi.org/10.5281/zenodo.10772191	urn:lsid:taxodros.uzh.ch:id:wakahama%20%26%20kitagawa%2C%201972	hash://md5/52cf0cf959437c9a3b30a02171065adb	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Walker, F.	1860	Catalogue of the Dipterous Insects collected in Amboyna by Mr. A. R. Wallace, with Descriptions of New Species.	Journal of the Proceedings of the Linnean Society. Zoology	Journal article	5		144-168		10772270	https://doi.org/10.5281/zenodo.10772270	urn:lsid:taxodros.uzh.ch:id:walker%2C%201860b	hash://md5/1b4c384b3e919705c7d86cdf320b607a	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wang, W. | Ling, F.-Y. | Shi, L.-M.	1994	Mitochondrial DNA Polymorphism in Natural Populations of Drosophila albomicans (I).	Science in China	Journal article	37	Ser.B	1329-1340		10772365	https://doi.org/10.5281/zenodo.10772365	urn:lsid:taxodros.uzh.ch:id:wang%20et%20al.%2C%201994a	hash://md5/87863b942552d959e25977cebecd1ac7	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Weeks, L.	1953	A new criterion for differentiating the two subspecies, Drosophila melanica melanica and Drosophila melanica paramelanica. (Abstract).	Proceedings of the Nebraska Academy of Sciences and Affiliated Societies	Journal article	63		6		10772748	https://doi.org/10.5281/zenodo.10772748	urn:lsid:taxodros.uzh.ch:id:weeks%2C%201953b	hash://md5/65a5ed30e0318c69341cbec9a24a3d29	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wiberg, R.A.W. | Tyukmaeva, V. | Hoikkala, A. | Ritchie, M.G. | Kankare, M.	2021	Cold adaptation drives population genomic divergence in the ecological specialist, Drosophila montana.	Molec. Ecol.	Journal article	30		3783Ð3796	https://doi.org/10.1111/mec.16003	10773039		urn:lsid:taxodros.uzh.ch:id:wiberg%20et%20al.%2C%202021	hash://md5/78864eb32004ae0bae53bfa2dfa29653	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wasserman, M.	1992	Cytological evolution of the Drosophila repleta species group. In: Krimbas, C.B. & Powell, J.R. (eds), Drosophila Inversion Polymorphism, pp. 455-552.		Book chapter					10772536	https://doi.org/10.5281/zenodo.10772536	urn:lsid:taxodros.uzh.ch:id:wasserman%2C%201992	hash://md5/84817eacad0b1872ddb8bba1f6e3650a	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Weber, D.	1989	Die Hohlenfauna und -flora des Hohlenkatastergebietes Rheinland-Pfalz/Saarland, 2. Teil.	Abhandlungen zur Karst- und Hohlenkunde	Journal article	23		1-250		10772736	https://doi.org/10.5281/zenodo.10772736	urn:lsid:taxodros.uzh.ch:id:weber%2C%201989	hash://md5/4ae237065be4c9ba0aaf7132362209a3	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wegener, C. | Gorbashov, A.	2008	Molecular evolution of neuropeptides in the genus Drosophila.	Genome Biol.	Journal article	9	R131	1-19	https://doi.org/10.1186/gb-2008-9-8-r131	10772750		urn:lsid:taxodros.uzh.ch:id:wegener%20%26%20gorbashov%2C%202008	hash://md5/3b63d8edc9f76604a7038587741c8523	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Walker, F.	1853	Insecta Britannica. Diptera. Vol. II. 297 pp.		Book					10772258	https://doi.org/10.5281/zenodo.10772258	urn:lsid:taxodros.uzh.ch:id:walker%2C%201853b	hash://md5/93a143e59c635d91ff2bd154322aa51c	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wipfler, B. | Schneeberg, K. | Loffler, A. | Hunefeld, F. | Meier, R. | Beutel, R.G.	2013	The skeletomuscular system of the larva of Drosophila melanogaster (Drosophilidae, Diptera) - A contribution to the morphology of a model organism.	Arthropod Structure & Development	Journal article	42		47-68	https://doi.org/10.1016/j.asd.2012.09.005	10773275		urn:lsid:taxodros.uzh.ch:id:wipfler%20et%20al.%2C%202013	hash://md5/a809485d547147a7ddced28b9cb3fd3e	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Williston, S.W.	1896	A new genus of Hippoboscidae.	Entomological News	Journal article	7		184-185		10773203	https://doi.org/10.5281/zenodo.10773203	urn:lsid:taxodros.uzh.ch:id:williston%2C%201896b	hash://md5/389ba8355d628cf36cdce0a165851713	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wahlgren, E.	1927	Daggflugor. Drosophilidae. In: Svensk Insektfauna. 11. Tvavingar. Diptera. Cyclorapha. Schizophora. 22. Fam., pp. 351-368.		Book chapter					10772187	https://doi.org/10.5281/zenodo.10772187	urn:lsid:taxodros.uzh.ch:id:wahlgren%2C%201927	hash://md5/dc3ec51ec66bfb8ce749613442309041	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Willbrand, B.N. | Pfeiffer, D.G.	2019	Brown Rice Vinegar as an Olfactory Field Attractant for Drosophila suzukii (Matsumura) and Zaprionus indianus Gupta (Diptera: Drosophilidae) in Cherimoya in Maui, Hawaii, with Implications for Attractant Specificity between Species and Estimation of Relative Abundance.	Insects, 2019(10	Journal article	80)		1-19		10773118	https://doi.org/10.5281/zenodo.10773118	urn:lsid:taxodros.uzh.ch:id:willbrand%20%26%20pfeiffer%2C%202019	hash://md5/27e8e41722e86c0b3392c969aa2499cd	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wattiaux, J.M.	1968	Cumulative parental age effects in Drosophila subobscura.	Evolution	Journal article	22		406-421		10772706	https://doi.org/10.5281/zenodo.10772706	urn:lsid:taxodros.uzh.ch:id:wattiaux%2C%201968b	hash://md5/120f9b4bfd8b53969ad6f902726bb2e2	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
