authors	year	title	journal	publication_type	volume	issue	pages	doi	zenodoId	zenodoDoi	id	contentId	zenodoResponseCorpusId
Williams, F.X.	1939	Biological Studies in Hawaiian Water-Loving Insects. Part III. Diptera or Flies. B. Asteiidae, Syrphidae and Dolichopodidae.	Proceedings of the Hawaiian Entomological Society	Journal article	10		281-315		10773160	https://doi.org/10.5281/zenodo.10773160	urn:lsid:taxodros.uzh.ch:id:williams%2C%201939	hash://md5/83405a33e5cf60d34afd6e1344b8d11d	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wirth, W.W.	1952	Two new Spider Egg Predators from the Hawaiian Islands (Diptera: Drosophilidae).	Proceedings of the Hawaiian Entomological Society	Journal article	14		415-417		10773279	https://doi.org/10.5281/zenodo.10773279	urn:lsid:taxodros.uzh.ch:id:wirth%2C%201952	hash://md5/208bb8f9aba8fb39bed76163060b0439	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Winn, A.F. | Beaulieu, G. | Petch, C.E. | Maltais, J.A.	1932	A preliminary list of the insects of the province of Quebec. Part II, Diptera.	Report of the Quebec Society for the Protection of Plants	Journal article	24		1-100		10773271	https://doi.org/10.5281/zenodo.10773271	urn:lsid:taxodros.uzh.ch:id:winn%20et%20al.%2C%201932	hash://md5/b308b005daf06d9d8860ba829ea11a71	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wasserman, M.	1967	Collections of Drosophila from Central Mexico.	Drosophila Information Service	Journal article	42		67-68		10772524	https://doi.org/10.5281/zenodo.10772524	urn:lsid:taxodros.uzh.ch:id:wasserman%2C%201967	hash://md5/dfbbc0b2a077fb612b4a2f1aefe877dd	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wu, M. et al.	2004	Phylogenomics of the Reproductive Parasite Wolbachia pipientis wMel: A Streamlined Genome Overrun by Mobile Genetic Elements.	PLoS Biol.	Journal article	2	3_e69	1-15	https://doi.org/10.1371/journal.pbio.0020069	10773460		urn:lsid:taxodros.uzh.ch:id:wu%20et%20al.%2C%202004	hash://md5/66947f4d9c78e459eb1e4a0c38e9cbcc	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wallace, A.G. | Detweiler, D. | Schaeffer, S.W.	2011	Evolutionary History of the Third Chromosome Gene Arrangements of Drosophila pseudoobscura Inferred from Inversion Breakpoints.	Molecular Biology and Evolution	Journal article	28		2219-2229	https://doi.org/10.1093/molbev/msr039	10772294		urn:lsid:taxodros.uzh.ch:id:wallace%20et%20al.%2C%202011	hash://md5/6add9f623ea3170c2b1499500f5464f0	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wu, C.F.	1940	Catalogus insectorum sinensium (Catalogue of Chinese insects). Vol. v, 524 pp.		Book					10773466	https://doi.org/10.5281/zenodo.10773466	urn:lsid:taxodros.uzh.ch:id:wu%2C%201940	hash://md5/85b89b91c765a7d9583728fb7825ca95	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wheeler, M.R.	1960	Sternite modification in males of the Drosophilidae (Diptera).	Annals of the Entomological Society of America	Journal article	53		133-137		10772960	https://doi.org/10.5281/zenodo.10772960	urn:lsid:taxodros.uzh.ch:id:wheeler%2C%201960a	hash://md5/2b9327f2f1ccec1aec2880adf59c8a40	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Werner, T.	2015	Leopard Spots and Zebra Stripes on Fruit Fly Wings.	Nature Education	Journal article					10772833	https://doi.org/10.5281/zenodo.10772833	urn:lsid:taxodros.uzh.ch:id:werner%2C%202015	hash://md5/1eaf03fe52f8af2a90cdec5169d65527	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Watabe, H. | Bachmann, L. | Haring, E. | Sperlich, D.	1997	Taxonomic and molecular studies on Drosophila sinobscura and D. hubeiensis, two sibling species of the D. obscura group.	Journal of zoological systematics and evolutionary research	Journal article	35		81-94		10772598	https://doi.org/10.5281/zenodo.10772598	urn:lsid:taxodros.uzh.ch:id:watabe%20et%20al.%2C%201997b	hash://md5/94bb2cfc951b5a44dc0ea3de36a52913	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Worthen, W.B. | Haney, D.C.	2002	Desiccation Tolerance of Three Mycophagous Drosophila Species.	American Midland Naturalist	Journal article	147		387-392		10773414	https://doi.org/10.5281/zenodo.10773414	urn:lsid:taxodros.uzh.ch:id:worthen%20%26%20haney%2C%202002	hash://md5/bd878dbf1506da8c5cb1c101c709a2ad	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Williams, T.M. | Selegue, J.E. | Werner, T. | Gompel, N. | Kopp, A. | Carroll, S.B.	2008	The Regulation and Evolution of a Genetic Switch Controlling Sexually Dimorphic Traits in Drosophila.	Cell	Journal article	134		610-623	https://doi.org/10.1016/j.cell.2008.06.052	10773150		urn:lsid:taxodros.uzh.ch:id:williams%20et%20al.%2C%202008	hash://md5/11c322f1de42004330cb241f3d57a3ab	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wasserman, M. | Koepfer, H.R.	1975	Fitness of karyotypes in Drosophila pseudoobscura.	Genetics	Journal article	79		113-126		10772480	https://doi.org/10.5281/zenodo.10772480	urn:lsid:taxodros.uzh.ch:id:wasserman%20%26%20koepfer%2C%201975	hash://md5/c9e4d17fcc96787874100f7b4327ae85	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Willis, J.C. | Burkill, I.H.	1895	Flowers and Insects in Great Britain. Part I.	Annals of Botany	Journal article	9		227-273		10773193	https://doi.org/10.5281/zenodo.10773193	urn:lsid:taxodros.uzh.ch:id:willis%20%26%20burkill%2C%201895	hash://md5/c9457f8e14fa2d3fdab5dfac72d95b31	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Werner, T. | Steenwinkel, T. | Jaenike, J.	2020	The Encyclopedia of North American Drosophilids (Volume 2). Drosophilids of the Southeast.		Book					10772829	https://doi.org/10.5281/zenodo.10772829	urn:lsid:taxodros.uzh.ch:id:werner%20et%20al.%2C%202020b	hash://md5/7510046cbeee1465f93e8e2e5cc4aade	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Ward, C.L.	1952	Chromosome variation in Drosophila melanica.	The University of Texas Publication	Journal article	5204		137-157		10772448	https://doi.org/10.5281/zenodo.10772448	urn:lsid:taxodros.uzh.ch:id:ward%2C%201952	hash://md5/baf8dbfe7b7a1a1fdd9896bd96369eb2	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Withers, P.	1994	Deux especes d'Amiota du sous-genre Phortica nouvelles pour la France (Diptera Drosophilidae).	Bulletin mensuel de la Societe linneenne de Lyon	Journal article	63		224		10773307	https://doi.org/10.5281/zenodo.10773307	urn:lsid:taxodros.uzh.ch:id:withers%2C%201994	hash://md5/b7f1555a49c5c4c083d97ee10b178e0f	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Worthen, W.B. | Haney, D.C.	1999	Temperature tolerance in three mycophagous Drosophila species: relationships with community structure.	Oikos (Acta oecologica scandinavica)	Journal article	86		113-118		10773412	https://doi.org/10.5281/zenodo.10773412	urn:lsid:taxodros.uzh.ch:id:worthen%20%26%20haney%2C%201999	hash://md5/0daea487cea2a8348f7137fed17f8b8e	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wheeler, M.R. | Hamilton, N.	1972	Catalog of Drosophila species names, 1959-1971.	The University of Texas Publication	Journal article	7213		257-268		10772896	https://doi.org/10.5281/zenodo.10772896	urn:lsid:taxodros.uzh.ch:id:wheeler%20%26%20hamilton%2C%201972	hash://md5/735d6e00fd6415e9939c0bbdecae1b8a	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Watabe, H. | Sidorenko, V.S.	1997	Three unrecorded species of drosophilid flies (Diptera: Drosophilidae) from Russia.	Far Eastern Entomologist [Dalnevostotsniy Entomolog]	Journal article	38		8		10772560	https://doi.org/10.5281/zenodo.10772560	urn:lsid:taxodros.uzh.ch:id:watabe%20%26%20sidorenko%2C%201997	hash://md5/92c9ee66438044ad3716a4d87ac53fcd	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wallace, B.	1983	The survival of wild type, ebony, and sepia Drosophila melanogaster on PTC.	Zeitschrift fur zoologische Systematik und Evolutionsforschung	Journal article	21		16-26		10772308	https://doi.org/10.5281/zenodo.10772308	urn:lsid:taxodros.uzh.ch:id:wallace%2C%201983	hash://md5/64df87c78e7083c677661c5d402a2e44	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Woolf, C.M. | Phelps, L.J.	1960	Chromosomal Polymorphism in the Tumorous-Head Strain of Drosophila melanogaster.	Science	Journal article	132		1256-1257		10773410	https://doi.org/10.5281/zenodo.10773410	urn:lsid:taxodros.uzh.ch:id:woolf%20%26%20phelps%2C%201960	hash://md5/af1f7232dd5e071b4da20b32683d7181	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Westrich, P.	2009	Fliegen (Diptera). In: Nutzniesser und Gegenspieler der Wildbienen.		Book					10772875	https://doi.org/10.5281/zenodo.10772875	urn:lsid:taxodros.uzh.ch:id:westrich%2C%202009	hash://md5/8da32b8ad8bfbbef1f15d508ccb97d48	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wolcott, G.N.	1951	The insects of Puerto Rico. Diptera.	Journal of Agriculture of the University of Puerto Rico	Journal article	32	1948	417-532		10773330	https://doi.org/10.5281/zenodo.10773330	urn:lsid:taxodros.uzh.ch:id:wolcott%2C%201951	hash://md5/a08e694b8d84da1c4c99295f6cda9897	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wakahama, K.-I.	1964	Some Ecological Studies in Drosophila.	Bulletin of the Shimane University (Natural Science)	Journal article	12	Nat.Sci.	50-122		10772238	https://doi.org/10.5281/zenodo.10772238	urn:lsid:taxodros.uzh.ch:id:wakahama%2C%201964	hash://md5/08717fdfce984f049a0bf5ab64cbb7ad	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Watanabe, T.K. | Kawanishi, M.	1978	Geographical Distribution of Drosophila simulans in Japan.	Zoological Magazine [Dobutsugaku zasshi]	Journal article	87		109-116		10772648	https://doi.org/10.5281/zenodo.10772648	urn:lsid:taxodros.uzh.ch:id:watanabe%20%26%20kawanishi%2C%201978c	hash://md5/2b8552ec4712b2d3c8f679ca4aae34f5	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Warren, T.L. | Weir, P.T. | Dickinson, M.H.	2018	Flying Drosophila melanogaster maintain arbitrary but stable headings relative to the angle of polarized light.	Journal of Experimental Biology	Journal article	221	jeb177550	1-12	https://doi.org/10.1242/jeb.177550	10772460		urn:lsid:taxodros.uzh.ch:id:warren%20et%20al.%2C%202018	hash://md5/19b7e95dd9ee63679ea0f0edffc77290	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
